Stage_1,Stage_2,Stage_3,pokedex_number,gen_introduced,initial_combat_power,final_combat_power
Mudkip,Marshtomp,Swampert,258,3,310,535.0
Charmander,Charmeleon,Charizard,4,1,309,534.0
Cyndaquil,Quilava,Typhlosion,155,2,309,534.0
Chimchar,Monferno,Infernape,390,4,309,534.0
Tympole,Palpitoad,Seismitoad,535,5,294,509.0
Klink,Klang,Klinklang,599,5,300,520.0
Rockruff,Lycanroc,,744,7,280,487.0
Fennekin,Braixen,Delphox,653,6,307,534.0
Arrokuda,Barraskewda,,846,8,280,490.0
Vanillite,Vanillish,Vanilluxe,582,5,305,535.0
Sandile,Krokorok,Krookodile,551,5,292,519.0
Duskull,Dusclops,Dusknoir,355,3,295,525.0
Bunnelby,Diggersby,,659,6,237,423.0
Trapinch,Vibrava,Flygon,328,3,290,520.0
Fletchling,Fletchinder,Talonflame,661,6,278,499.0
Wooloo,Dubwool,,831,8,270,490.0
Yamper,Boltund,,835,8,270,490.0
Lillipup,Herdier,Stoutland,506,5,275,500.0
Mareep,Flaaffy,Ampharos,179,2,280,510.0
Flabébé,Floette,Florges,669,6,303,552.0
Spheal,Sealeo,Walrein,363,3,290,530.0
Pikipek,Trumbeak,Toucannon,731,7,265,485.0
Horsea,Seadra,Kingdra,116,1,295,540.0
Milcery,Alcremie,,868,8,270,495.0
Nidoran F,Nidorina,Nidoqueen,29,1,275,505.0
Roggenrola,Boldore,Gigalith,524,5,280,515.0
Budew,Roselia,Roserade,406,4,280,515.0
Gossifleur,Eldegoss,,829,8,250,460.0
Hoppip,Skiploom,Jumpluff,187,2,250,460.0
Riolu,Lucario,,447,4,285,525.0
Pidove,Tranquill,Unfezant,519,5,264,488.0
Nidoran M,Nidorino,Nidoking,32,1,273,505.0
Nickit,Thievul,,827,8,245,455.0
Applin,Appletun,,840,8,260,485.0
Applin,Flapple,,840,8,260,485.0
Venipede,Whirlipede,Scolipede,543,5,260,485.0
Tynamo,Eelektrik,Eelektross,602,5,275,515.0
Litwick,Lampent,Chandelure,607,5,275,520.0
Burmy,Wormadam,,412,4,224,424.0
Burmy,Mothim,,412,4,224,424.0
Pidgey,Pidgeotto,Pidgeot,16,1,251,479.0
Poochyena,Mightyena,,261,3,220,420.0
Fomantis,Lurantis,,753,7,250,480.0
Impidimp,Morgrem,Grimmsnarl,859,8,265,510.0
Hatenna,Hattrem,Hatterene,856,8,265,510.0
Sentret,Furret,,161,2,215,415.0
Combee,Vespiquen,,415,4,244,474.0
Wurmple,Cascoon,Dustox,265,3,195,385.0
Kricketot,Kricketune,,401,4,194,384.0
Starly,Staravia,Staraptor,396,4,245,485.0
Shinx,Luxio,Luxray,403,4,263,523.0
Bagon,Shelgon,Salamence,371,3,300,600.0
Meltan,Melmetal,,808,7,300,600.0
Jangmo-o,Hakamo-o,Kommo-o,782,7,300,600.0
Gible,Gabite,Garchomp,443,4,300,600.0
Larvitar,Pupitar,Tyranitar,246,2,300,600.0
Beldum,Metang,Metagross,374,3,300,600.0
Dratini,Dragonair,Dragonite,147,1,300,600.0
Goomy,Sliggoo,Goodra,704,6,300,600.0
Makuhita,Hariyama,,296,3,237,474.0
Deino,Zweilous,Hydreigon,633,5,300,600.0
Rookidee,Corvisquire,Corviknight,821,8,245,495.0
Caterpie,Metapod,Butterfree,10,1,195,395.0
Wurmple,Silcoon,Beautifly,265,3,195,395.0
Weedle,Kakuna,Beedrill,13,1,195,395.0
Whismur,Loudred,Exploud,293,3,240,490.0
Wooper,Quagsire,,194,2,210,430.0
Scatterbug,Spewpa,Vivillon,664,6,200,411.0
Igglybuff,Jigglypuff,Wigglytuff,174,2,210,435.0
Toxel,Toxtricity,,848,8,242,502.0
Swinub,Piloswine,Mamoswine,220,2,250,530.0
Rolycoly,Carkol,Coalossal,837,8,240,510.0
Tyrogue,Hitmonchan,,236,2,210,455.0
Tyrogue,Hitmonlee,,236,2,210,455.0
Tyrogue,Hitmontop,,236,2,210,455.0
Zigzagoon,Linoone,Obstagoon,263,3,240,520.0
Lotad,Lombre,Ludicolo,270,3,220,480.0
Seedot,Nuzleaf,Shiftry,273,3,220,480.0
Noibat,Noivern,,714,6,245,535.0
Zubat,Golbat,Crobat,41,1,245,535.0
Azurill,Marill,Azumarill,298,3,190,420.0
Cleffa,Clefairy,Clefable,173,2,218,483.0
Dreepy,Drakloak,Dragapult,885,8,270,600.0
Togepi,Togetic,Togekiss,175,2,245,545.0
Wimpod,Golisopod,,767,7,230,530.0
Sunkern,Sunflora,,191,2,180,425.0
Pichu,Pikachu,Raichu,172,2,205,485.0
Slakoth,Vigoroth,Slaking,287,3,280,670.0
Bounsweet,Steenee,Tsareena,761,7,210,510.0
Happiny,Chansey,Blissey,440,4,220,540.0
Snom,Frosmoth,,872,8,185,475.0
Ralts,Kirlia,Gallade,280,3,198,518.0
Ralts,Kirlia,Gardevoir,280,3,198,518.0
Feebas,Milotic,,349,3,200,540.0
Magikarp,Gyarados,,129,1,200,540.0
Blipbug,Dottler,Orbeetle,824,8,180,505.0
Cosmog,Cosmoem,Solgaleo,789,7,200,680.0
Cosmog,Cosmoem,Lunala,789,7,200,680.0
